site,label,label 2,label 3
usainfobox.com,fake,,
usamagazinestudio.com,fake,,
usanewsflash.com,fake,bias,clickbait
usanewsinsider.com,fake,bias,clickbait
usanewspolitics.com,fake,,
usanewstoday.com,fake,,
usaonlinepolitics.com,fake,clickbait,
usaphase.com,fake,bias,
usapolitics24hrs.com,fake,,
usapoliticsnow.com,fake,bias,
usapoliticszone.com,fake,,
usasnich.com,fake,,
usasupreme.com,fake, ,
usatoday.com.co,fake,,
usatodaynews.me,fake,,
usatwentyfour.com,fake,,
usconservativetoday.com,fake,,
usfanzone.com,fake,bias,
ushealthyadvisor.com,fake,conspiracy,junksci
ushealthylife.com,fake,,
usinfonews.com,fake,,
uspoliticslive.com,fake,bias,conspiracy
uspoln.com,fake,,
uspostman.com,fake,,
vigilantcitizen.com,fake,conspiracy,
viralactions.com,fake,,
viralliberty.com,fake,bias,clickbait
voxtribune.com,fake,,
washingtonfed.com,fake,,
washingtonpost.com.co,fake,,
webdaily.com,fake,conspiracy,bias
weeklyworldnews.com,fake,rumor,clickbait
worldpoliticsus.com,fake,,
worldrumor.com,fake,,
worldstoriestoday.com,fake,,
wtoe5news.com,fake,satire,
yesimright.com,fake,bias,
yourfunpage.com,fake,,
worldpoliticsnow.com,fake ,,
FarmWars.info,fake news,conspiracy,
actforamerica.org/news,hate,,
adflegal.org/media,hate,,
americanborderpatrol.com,hate,,
amren.com,hate,conspiracy,
amren.com,hate,,
aryannationswordwide1488.org,hate,,
barenakedislam.com,hate,,
barnesreview.org,hate,,
bigbluevision.com,hate,,
centerforsecuritypolicy.org/#articles,hate,,
christianfightback.com,hate,bias,
creativitymovement.net/category/news/,hate,,
dailyken.com,hate,,
dailystormer.com,hate,conspiracy,bias
darkmoon.me,hate,bias,
davidduke.com,hate,,
drrichswier.com,hate,bias,
EUTimes.net,hate,conspiracy,
gatesofvienna.net,hate,conspiracy,
glaringhypocrisy.com,hate,conspiracy,
ihr.org,hate,,
libertyfederation.com,hate,,
nationalvanguard.org,hate,,
npiamerica.org,hate,bias,
returnofkings.com,hate,,
themuslimissue.wordpress.com,hate,conspiracy,
therightstuff.biz,hate,,
truthfeed.com,hate,bias,conspiracy
whitepower.com,hate,conspiracy,bias
AmericanKabuki.blogspot.com,junksci,,
ancient-code.com,junksci,unreliable,
checkoutthehealthyworld.com,junksci,clickbait,
collective-evolution.com,junksci,,
collectivelyconscious.net,junksci,conspiracy,
consciouslifenews.com,junksci, ,
dineal.com,junksci,,
ewao.com,junksci,,
ExperimentalVaccines.org,junksci,conspiracy,
foodbabe.com,junksci,,
galacticconnection.com,junksci,,
geoengineeringwatch.org,junksci,conspiracy,
GreenMedInfo.com,junksci,,
healthimpactnews.com,junksci,bias,
healthnutnews.com,junksci,,
healthy-holistic-living.com,junksci,clickbait,
icr.org,junksci,,
in5d.com,junksci,,
lifeprevention.com,junksci,,
naturalblaze.com,junksci,conspiracy,
naturalnews.com,junksci,conspiracy,
naturalnewsblogs.com,junksci,,
rawforbeauty.com,junksci,,
realfarmacy.com,junksci,conspiracy,
realplanetnews.com,junksci,,
responsibletechnology.org,junksci,,
revolutions2040.com,junksci,clickbait,
thetruthaboutcancer.com,junksci,,
TheTruthWins.com,junksci,conspiracy,clickbait
wakingtimes.com,junksci,,
whydontyoutrythis.com,junksci,rumor,
worldwidehealthy.com,junksci,clickbait,
dailyleak.org,satire,fake,
advocate.com,political,reliable,
alternet.org,political,reliable,
americannewsx.com,political,bias,satire
americanprogress.org,political,reliable,
attn.com,political,clickbait,
baptistnews.com,political,,
breitbart.com,political,unreliable,bias
cato.org/blog,political,reliable,
chroniclesmagazine.org,political,,
city-journal.org,political,,
commentarymagazine.com,political,,
commondreams.org,political,clickbait,
conservativereview.com,political,,
countercurrents.org,political,unreliable,
counterinformation.wordpress.com,political,,
counterpunch.com,political,,
counterpunch.org,political,,
dailycaller.com,political,clickbait,bias
dailykos.com,political,clickbait, 
davidstockmanscontracorner.com,political,,
DeadLineLive.info,political,conspiracy,
dennismichaellynch.com,political,,
dissentmagazine.org,political,,
drudgereport.com,political,bias,
economicnoise.com,political,unreliable,
ecowatch.com,political,,
Emptywheel.net,political,,
filmsforaction.org,political,,
foreignpolicyjournal.com,political,,
freedomworks.org,political,,
fusion.net,political,reliable,
geopolmonitor.com,political,,
guardianlv.com,political,,
heritage.org,political,,
ijr.com,political,bias,unreliable
jackpineradicals.com,political,,
jacobinmag.com,political,,
judicialwatch.org,political,,
mintpressnews.com,political,,
mrc.org,political,bias,
nakedcapitalism.com,political,,
nationalreview.com,political,,
newcoldwar.org,political,,
newscorpse.com,political, , 
oann.com,political,reliable,
observer.com,political,,
OCCUPY.com,political,,
pjmedia.com,political,bias,
presidentialvoting2016.com,political,bias,unreliable
proudemocrat.com,political,,
rawstory.com,political,clickbait,
redstate.com,political,clickbait,
resistancereport.com,political,unreliable,
rinf.com,political,,
ronpaulinstitute.org,political,,
ruptly.tv,political,,
theblaze.com,political,clickbait,
thedailybeast.com,political,,
thefifthcolumnnews.com,political,,
theintercept.com,political,,
